,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
555,Luebben (Spreewald),51.95,13.9,Germany,DE,Brandenburg,minor,14024.0,14024.0
556,Montabaur,50.4375,7.8258,Germany,DE,Rheinland-Pfalz,minor,13691.0,13691.0
557,Erbach,49.6569,8.9931,Germany,DE,Hessen,minor,13666.0,13666.0
558,Lauterbach,50.6378,9.3944,Germany,DE,Hessen,minor,13664.0,13664.0
559,Hassfurt,50.0353,10.5123,Germany,DE,Bayern,minor,13609.0,13609.0
560,Eichstaett,48.8919,11.1839,Germany,DE,Bayern,minor,13525.0,13525.0
561,Tauberbischofsheim,49.6225,9.6628,Germany,DE,Baden-Wuerttemberg,minor,13231.0,13231.0
562,Neustadt,49.58,10.6089,Germany,DE,Bayern,minor,13121.0,13121.0
563,Pfarrkirchen,48.4419,12.9443,Germany,DE,Bayern,minor,12677.0,12677.0
564,Ebersberg,48.0833,11.9667,Germany,DE,Bayern,minor,12239.0,12239.0
565,Perleberg,53.0667,11.8667,Germany,DE,Brandenburg,minor,12141.0,12141.0
566,Bad Fallingbostel,52.8675,9.6967,Germany,DE,Niedersachsen,minor,11852.0,11852.0
567,Hildburghausen,50.4261,10.7289,Germany,DE,Thueringen,minor,11836.0,11836.0
568,Miesbach,47.789,11.8338,Germany,DE,Bayern,minor,11562.0,11562.0
569,Bad Schwalbach,50.1401,8.0694,Germany,DE,Hessen,minor,11187.0,11187.0
570,Regen,48.97,13.1264,Germany,DE,Bayern,minor,11001.0,11001.0
571,Eisenberg,50.9667,11.9,Germany,DE,Thueringen,minor,10885.0,10885.0
572,Altoetting,48.2264,12.6759,Germany,DE,Bayern,minor,10119.0,10119.0
573,Bad Ems,50.3381,7.7106,Germany,DE,Rheinland-Pfalz,minor,9681.0,9681.0
574,Luechow,52.9667,11.15,Germany,DE,Niedersachsen,minor,9437.0,9437.0
575,Miltenberg,49.7039,9.2644,Germany,DE,Bayern,minor,9355.0,9355.0
576,Wunsiedel,50.0374,11.9994,Germany,DE,Bayern,minor,9259.0,9259.0
577,Herzberg,51.6831,13.2331,Germany,DE,Brandenburg,minor,9027.0,9027.0
578,Ploen,54.1622,10.4214,Germany,DE,Schleswig-Holstein,minor,8914.0,8914.0
579,Schleiz,50.5833,11.8167,Germany,DE,Thueringen,minor,8854.0,8854.0
580,Tirschenreuth,49.8789,12.3369,Germany,DE,Bayern,minor,8707.0,8707.0
581,Beeskow,52.1667,14.25,Germany,DE,Brandenburg,minor,8042.0,8042.0
582,Daun,50.1986,6.8319,Germany,DE,Rheinland-Pfalz,minor,7974.0,7974.0
583,Simmern,49.9833,7.5167,Germany,DE,Rheinland-Pfalz,minor,7950.0,7950.0
584,Kirchheimbolanden,49.6664,8.0117,Germany,DE,Rheinland-Pfalz,minor,7802.0,7802.0
585,Freyung,48.8075,13.5475,Germany,DE,Bayern,minor,7166.0,7166.0
586,Birkenfeld,49.65,7.1833,Germany,DE,Rheinland-Pfalz,minor,6984.0,6984.0
587,Altenkirchen,50.6872,7.6456,Germany,DE,Rheinland-Pfalz,minor,6263.0,6263.0
588,Neustadt,49.7306,12.1706,Germany,DE,Bayern,minor,5727.0,5727.0
589,Seelow,52.5167,14.3831,Germany,DE,Brandenburg,minor,5426.0,5426.0
590,Kusel,49.5347,7.3981,Germany,DE,Rheinland-Pfalz,minor,5405.0,5405.0
591,Cochem,50.1469,7.1667,Germany,DE,Rheinland-Pfalz,minor,5312.0,5312.0
592,Offenbach,50.1006,8.7665,Germany,DE,Hessen,minor,,
593,Frankenthal,49.5436,8.3639,Germany,DE,Rheinland-Pfalz,minor,,
594,Weiden,49.6768,12.1561,Germany,DE,Bayern,minor,,
595,Nienburg,52.6461,9.2208,Germany,DE,Niedersachsen,minor,,
596,Verden,52.9234,9.2349,Germany,DE,Niedersachsen,minor,,
597,Koethen,51.7518,11.9709,Germany,DE,Sachsen-Anhalt,minor,,
598,Rotenburg,53.1113,9.4108,Germany,DE,Niedersachsen,minor,,
599,Karlstadt,49.9603,9.7724,Germany,DE,Bayern,minor,,
600,Neustadt,49.5656,8.8437,Germany,DE,Hessen,minor,,
601,Homberg,51.0299,9.4026,Germany,DE,Hessen,minor,,
602,Garmisch-Partenkirchen,47.4921,11.0958,Germany,DE,Bayern,minor,,
